Round #,Score,Brute,NaiveBot,NiceBot,WesBot,DarwinianEmptySeat,Kind_Bot,bayes,bot,,Copies,Brute,NaiveBot,NiceBot,WesBot,DarwinianEmptySeat,Kind_Bot,bayes,bot,
109,229551,11,0,0,0,0,229540,0,0,,512,1,0,0,0,0,511,0,0,
110,228853,430,0,0,0,0,228423,0,0,,512,1,0,0,0,0,511,0,0,
111,230714,420,0,0,0,0,230294,0,0,,512,1,0,0,0,0,511,0,0,
112,228830,11,0,0,0,0,228819,0,0,,512,1,0,0,0,0,511,0,0,
113,226475,465,0,0,0,0,226010,0,0,,512,2,0,0,0,0,510,0,0,
114,227834,537,0,0,0,0,227297,0,0,,512,2,0,0,0,0,510,0,0,
115,226913,504,0,0,0,0,226409,0,0,,512,2,0,0,0,0,510,0,0,
116,230230,864,0,0,0,0,229366,0,0,,512,2,0,0,0,0,510,0,0,
117,228470,571,0,0,0,0,227899,0,0,,512,2,0,0,0,0,510,0,0,
118,229661,504,0,0,0,0,229157,0,0,,512,2,0,0,0,0,510,0,0,
119,228156,473,0,0,0,0,227683,0,0,,512,2,0,0,0,0,510,0,0,
120,228142,611,0,0,0,0,227531,0,0,,512,2,0,0,0,0,510,0,0,
121,228169,824,0,0,0,0,227345,0,0,,512,2,0,0,0,0,510,0,0,
122,229322,815,0,0,0,0,228507,0,0,,512,2,0,0,0,0,510,0,0,
123,227040,403,0,0,0,0,226637,0,0,,512,1,0,0,0,0,511,0,0,
124,227572,416,0,0,0,0,227156,0,0,,512,1,0,0,0,0,511,0,0,
125,228434,399,0,0,0,0,228035,0,0,,512,1,0,0,0,0,511,0,0,
126,228377,458,0,0,0,0,227919,0,0,,512,2,0,0,0,0,510,0,0,
127,230753,476,0,0,0,0,230277,0,0,,512,2,0,0,0,0,510,0,0,
128,229206,894,0,0,0,0,228312,0,0,,512,2,0,0,0,0,510,0,0,
129,229776,878,0,0,0,0,228898,0,0,,512,2,0,0,0,0,510,0,0,
130,228082,863,0,0,0,0,227219,0,0,,512,2,0,0,0,0,510,0,0,
131,227609,497,0,0,0,0,227112,0,0,,512,2,0,0,0,0,510,0,0,
132,227438,469,0,0,0,0,226969,0,0,,512,2,0,0,0,0,510,0,0,
133,226728,462,0,0,0,0,226266,0,0,,512,2,0,0,0,0,510,0,0,
134,225958,22,0,0,0,0,225936,0,0,,512,1,0,0,0,0,511,0,0,
135,227435,423,0,0,0,0,227012,0,0,,512,1,0,0,0,0,511,0,0,
136,228466,416,0,0,0,0,228050,0,0,,512,1,0,0,0,0,511,0,0,
137,228350,20,0,0,0,0,228330,0,0,,512,1,0,0,0,0,511,0,0,
138,230058,14,0,0,0,0,230044,0,0,,512,1,0,0,0,0,511,0,0,
139,228932,11,0,0,0,0,228921,0,0,,512,1,0,0,0,0,511,0,0,
140,229992,455,0,0,0,0,229537,0,0,,512,2,0,0,0,0,510,0,0,
141,226081,22,0,0,0,0,226059,0,0,,512,1,0,0,0,0,511,0,0,
142,227417,20,0,0,0,0,227397,0,0,,512,1,0,0,0,0,511,0,0,
143,227454,395,0,0,0,0,227059,0,0,,512,1,0,0,0,0,511,0,0,
144,227264,163,0,0,0,0,227101,0,0,,512,1,0,0,0,0,511,0,0,
145,230504,430,0,0,0,0,230074,0,0,,512,1,0,0,0,0,511,0,0,
146,228315,395,0,0,0,0,227920,0,0,,512,1,0,0,0,0,511,0,0,
147,229343,437,0,0,0,0,228906,0,0,,512,1,0,0,0,0,511,0,0,
148,226631,11,0,0,0,0,226620,0,0,,512,1,0,0,0,0,511,0,0,
149,230217,434,0,0,0,0,229783,0,0,,512,1,0,0,0,0,511,0,0,
150,229242,11,0,0,0,0,229231,0,0,,512,1,0,0,0,0,511,0,0,
151,228858,402,0,0,0,0,228456,0,0,,512,1,0,0,0,0,511,0,0,
152,228405,413,0,0,0,0,227992,0,0,,512,1,0,0,0,0,511,0,0,
153,229639,481,0,0,0,0,229158,0,0,,512,2,0,0,0,0,510,0,0,
154,227385,574,0,0,0,0,226811,0,0,,512,2,0,0,0,0,510,0,0,
155,228305,909,0,0,0,0,227396,0,0,,512,3,0,0,0,0,509,0,0,
156,229653,959,0,0,0,0,228694,0,0,,512,3,0,0,0,0,509,0,0,
157,227788,174,0,0,0,0,227614,0,0,,512,1,0,0,0,0,511,0,0,
158,227856,504,0,0,0,0,227352,0,0,,512,2,0,0,0,0,510,0,0,
159,227161,946,0,0,0,0,226215,0,0,,512,3,0,0,0,0,509,0,0,
160,227973,947,0,0,0,0,227026,0,0,,512,3,0,0,0,0,509,0,0,
161,226618,442,0,0,0,0,226176,0,0,,512,1,0,0,0,0,511,0,0,
162,229463,11,0,0,0,0,229452,0,0,,512,1,0,0,0,0,511,0,0,
163,225981,11,0,0,0,0,225970,0,0,,512,1,0,0,0,0,511,0,0,
164,227621,14,0,0,0,0,227607,0,0,,512,1,0,0,0,0,511,0,0,
165,228929,429,0,0,0,0,228500,0,0,,512,1,0,0,0,0,511,0,0,
166,230083,468,0,0,0,0,229615,0,0,,512,2,0,0,0,0,510,0,0,
167,228627,508,0,0,0,0,228119,0,0,,512,2,0,0,0,0,510,0,0,
168,229059,930,0,0,0,0,228129,0,0,,512,3,0,0,0,0,509,0,0,
169,226356,840,0,0,0,0,225516,0,0,,512,2,0,0,0,0,510,0,0,
170,228738,402,0,0,0,0,228336,0,0,,512,1,0,0,0,0,511,0,0,
171,228572,20,0,0,0,0,228552,0,0,,512,1,0,0,0,0,511,0,0,
172,229703,11,0,0,0,0,229692,0,0,,512,1,0,0,0,0,511,0,0,
173,226419,11,0,0,0,0,226408,0,0,,512,1,0,0,0,0,511,0,0,
174,227421,20,0,0,0,0,227401,0,0,,512,1,0,0,0,0,511,0,0,
175,228497,148,0,0,0,0,228349,0,0,,512,1,0,0,0,0,511,0,0,
176,228152,406,0,0,0,0,227746,0,0,,512,1,0,0,0,0,511,0,0,
177,228245,11,0,0,0,0,228234,0,0,,512,1,0,0,0,0,511,0,0,
178,228252,11,0,0,0,0,228241,0,0,,512,1,0,0,0,0,511,0,0,
179,230299,429,0,0,0,0,229870,0,0,,512,1,0,0,0,0,511,0,0,
180,228612,148,0,0,0,0,228464,0,0,,512,1,0,0,0,0,511,0,0,
181,228270,11,0,0,0,0,228259,0,0,,512,1,0,0,0,0,511,0,0,
182,229380,20,0,0,0,0,229360,0,0,,512,1,0,0,0,0,511,0,0,
183,230370,474,0,0,0,0,229896,0,0,,512,2,0,0,0,0,510,0,0,
184,227661,22,0,0,0,0,227639,0,0,,512,1,0,0,0,0,511,0,0,
185,230284,479,0,0,0,0,229805,0,0,,512,2,0,0,0,0,510,0,0,
186,227871,468,0,0,0,0,227403,0,0,,512,2,0,0,0,0,510,0,0,
187,228565,420,0,0,0,0,228145,0,0,,512,1,0,0,0,0,511,0,0,
188,226367,11,0,0,0,0,226356,0,0,,512,1,0,0,0,0,511,0,0,
189,228254,11,0,0,0,0,228243,0,0,,512,1,0,0,0,0,511,0,0,
190,230118,465,0,0,0,0,229653,0,0,,512,2,0,0,0,0,510,0,0,
191,228412,825,0,0,0,0,227587,0,0,,512,2,0,0,0,0,510,0,0,
192,228211,494,0,0,0,0,227717,0,0,,512,2,0,0,0,0,510,0,0,
193,228485,22,0,0,0,0,228463,0,0,,512,1,0,0,0,0,511,0,0,
194,228679,432,0,0,0,0,228247,0,0,,512,1,0,0,0,0,511,0,0,
195,225770,11,0,0,0,0,225759,0,0,,512,1,0,0,0,0,511,0,0,
196,229836,14,0,0,0,0,229822,0,0,,512,1,0,0,0,0,511,0,0,
197,228550,399,0,0,0,0,228151,0,0,,512,1,0,0,0,0,511,0,0,
198,229730,475,0,0,0,0,229255,0,0,,512,2,0,0,0,0,510,0,0,
199,228275,845,0,0,0,0,227430,0,0,,512,2,0,0,0,0,510,0,0,
200,229016,455,0,0,0,0,228561,0,0,,512,2,0,0,0,0,510,0,0,
201,228384,820,0,0,0,0,227564,0,0,,512,2,0,0,0,0,510,0,0,
202,229126,459,0,0,0,0,228667,0,0,,512,2,0,0,0,0,510,0,0,
203,228744,396,0,0,0,0,228348,0,0,,512,1,0,0,0,0,511,0,0,
204,226348,11,0,0,0,0,226337,0,0,,512,1,0,0,0,0,511,0,0,
205,228724,469,0,0,0,0,228255,0,0,,512,2,0,0,0,0,510,0,0,
